ROWID,Country,State lgd code,State,YearCode,Year,Birth rate,Death rate
1,India,1,Jammu And Kashmir,1991,"Calendar Year (Jan - Dec), 1991",,
2,India,1,Jammu And Kashmir,1992,"Calendar Year (Jan - Dec), 1992",,
3,India,1,Jammu And Kashmir,1993,"Calendar Year (Jan - Dec), 1993",,
4,India,1,Jammu And Kashmir,1994,"Calendar Year (Jan - Dec), 1994",,
5,India,1,Jammu And Kashmir,1995,"Calendar Year (Jan - Dec), 1995",,
6,India,1,Jammu And Kashmir,1996,"Calendar Year (Jan - Dec), 1996",,
7,India,1,Jammu And Kashmir,1997,"Calendar Year (Jan - Dec), 1997",,
8,India,1,Jammu And Kashmir,1998,"Calendar Year (Jan - Dec), 1998",19.9,5.4
9,India,1,Jammu And Kashmir,1999,"Calendar Year (Jan - Dec), 1999",20.9,6.3
10,India,1,Jammu And Kashmir,2000,"Calendar Year (Jan - Dec), 2000",19.6,6.2
11,India,1,Jammu And Kashmir,2001,"Calendar Year (Jan - Dec), 2001",20.1,6.1
12,India,1,Jammu And Kashmir,2002,"Calendar Year (Jan - Dec), 2002",19.2,5.7
13,India,1,Jammu And Kashmir,2003,"Calendar Year (Jan - Dec), 2003",18.6,5.7
14,India,1,Jammu And Kashmir,2004,"Calendar Year (Jan - Dec), 2004",18.7,5.6
15,India,1,Jammu And Kashmir,2005,"Calendar Year (Jan - Dec), 2005",18.9,5.5
16,India,1,Jammu And Kashmir,2006,"Calendar Year (Jan - Dec), 2006",18.7,5.9
17,India,1,Jammu And Kashmir,2007,"Calendar Year (Jan - Dec), 2007",19,5.8
18,India,1,Jammu And Kashmir,2008,"Calendar Year (Jan - Dec), 2008",18.8,5.8
19,India,1,Jammu And Kashmir,2009,"Calendar Year (Jan - Dec), 2009",18.6,5.7
20,India,1,Jammu And Kashmir,2010,"Calendar Year (Jan - Dec), 2010",18.3,5.7
21,India,1,Jammu And Kashmir,2011,"Calendar Year (Jan - Dec), 2011",17.8,5.5
22,India,1,Jammu And Kashmir,2012,"Calendar Year (Jan - Dec), 2012",17.6,5.4
23,India,1,Jammu And Kashmir,2013,"Calendar Year (Jan - Dec), 2013",17.5,5.3
24,India,1,Jammu And Kashmir,2014,"Calendar Year (Jan - Dec), 2014",16.8,5.1
25,India,1,Jammu And Kashmir,2015,"Calendar Year (Jan - Dec), 2015",16.2,4.9
26,India,1,Jammu And Kashmir,2016,"Calendar Year (Jan - Dec), 2016",15.7,5
27,India,1,Jammu And Kashmir,2017,"Calendar Year (Jan - Dec), 2017",15.4,4.8
28,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",15.4,4.9
29,India,2,Himachal Pradesh,1991,"Calendar Year (Jan - Dec), 1991",28.5,8.9
30,India,2,Himachal Pradesh,1992,"Calendar Year (Jan - Dec), 1992",28.1,8.8
31,India,2,Himachal Pradesh,1993,"Calendar Year (Jan - Dec), 1993",26.7,8.6
32,India,2,Himachal Pradesh,1994,"Calendar Year (Jan - Dec), 1994",26.3,8.6
33,India,2,Himachal Pradesh,1995,"Calendar Year (Jan - Dec), 1995",25.2,8.7
34,India,2,Himachal Pradesh,1996,"Calendar Year (Jan - Dec), 1996",23,8
35,India,2,Himachal Pradesh,1997,"Calendar Year (Jan - Dec), 1997",22.6,8.1
36,India,2,Himachal Pradesh,1998,"Calendar Year (Jan - Dec), 1998",22.6,7.7
37,India,2,Himachal Pradesh,1999,"Calendar Year (Jan - Dec), 1999",23.8,7.3
38,India,2,Himachal Pradesh,2000,"Calendar Year (Jan - Dec), 2000",22.1,7.2
39,India,2,Himachal Pradesh,2001,"Calendar Year (Jan - Dec), 2001",21,7
40,India,2,Himachal Pradesh,2002,"Calendar Year (Jan - Dec), 2002",20.7,7.5
41,India,2,Himachal Pradesh,2003,"Calendar Year (Jan - Dec), 2003",20.6,7.1
42,India,2,Himachal Pradesh,2004,"Calendar Year (Jan - Dec), 2004",19.2,6.8
43,India,2,Himachal Pradesh,2005,"Calendar Year (Jan - Dec), 2005",20,6.9
44,India,2,Himachal Pradesh,2006,"Calendar Year (Jan - Dec), 2006",18.8,6.8
45,India,2,Himachal Pradesh,2007,"Calendar Year (Jan - Dec), 2007",17.4,7.1
46,India,2,Himachal Pradesh,2008,"Calendar Year (Jan - Dec), 2008",17.7,7.4
47,India,2,Himachal Pradesh,2009,"Calendar Year (Jan - Dec), 2009",17.2,7.2
48,India,2,Himachal Pradesh,2010,"Calendar Year (Jan - Dec), 2010",16.9,6.9
49,India,2,Himachal Pradesh,2011,"Calendar Year (Jan - Dec), 2011",16.5,6.7
50,India,2,Himachal Pradesh,2012,"Calendar Year (Jan - Dec), 2012",16.2,6.7
51,India,2,Himachal Pradesh,2013,"Calendar Year (Jan - Dec), 2013",16,6.7
52,India,2,Himachal Pradesh,2014,"Calendar Year (Jan - Dec), 2014",16.4,6.7
53,India,2,Himachal Pradesh,2015,"Calendar Year (Jan - Dec), 2015",16.3,6.6
54,India,2,Himachal Pradesh,2016,"Calendar Year (Jan - Dec), 2016",16,6.8
55,India,2,Himachal Pradesh,2017,"Calendar Year (Jan - Dec), 2017",15.8,6.6
56,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",15.7,6.9
57,India,3,Punjab,1991,"Calendar Year (Jan - Dec), 1991",27.7,7.8
58,India,3,Punjab,1992,"Calendar Year (Jan - Dec), 1992",27.1,8.2
59,India,3,Punjab,1993,"Calendar Year (Jan - Dec), 1993",26.3,7.9
60,India,3,Punjab,1994,"Calendar Year (Jan - Dec), 1994",25,7.6
61,India,3,Punjab,1995,"Calendar Year (Jan - Dec), 1995",24.6,7.3
62,India,3,Punjab,1996,"Calendar Year (Jan - Dec), 1996",23.7,7.4
63,India,3,Punjab,1997,"Calendar Year (Jan - Dec), 1997",23.4,7.4
